ANIO,MES,FECHA,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL
2020,03,15Mar2020,01,Cable coaxial,"7,716,410"
2020,03,15Mar2020,02,DSL,"6,679,434"
2020,03,15Mar2020,03,Fibra óptica,"5,073,134"
2020,03,15Mar2020,04,Satelital,"19,073"
2020,03,15Mar2020,15,Tecnología móvil,"362,816"
2020,03,15Mar2020,99,Sin tecnología especificada,"306,034"
2020,04,15Apr2020,01,Cable coaxial,"7,818,321"
2020,04,15Apr2020,02,DSL,"6,658,038"
2020,04,15Apr2020,03,Fibra óptica,"5,255,861"
2020,04,15Apr2020,04,Satelital,"19,130"
2020,04,15Apr2020,15,Tecnología móvil,"387,864"
2020,04,15Apr2020,99,Sin tecnología especificada,"321,342"
2020,05,15May2020,01,Cable coaxial,"7,955,356"
2020,05,15May2020,02,DSL,"6,616,058"
2020,05,15May2020,03,Fibra óptica,"5,401,407"
2020,05,15May2020,04,Satelital,"19,373"
2020,05,15May2020,15,Tecnología móvil,"406,455"
2020,05,15May2020,99,Sin tecnología especificada,"329,149"
2020,06,15Jun2020,01,Cable coaxial,"8,056,559"
2020,06,15Jun2020,02,DSL,"6,544,458"
2020,06,15Jun2020,03,Fibra óptica,"5,520,350"
2020,06,15Jun2020,04,Satelital,"19,522"
2020,06,15Jun2020,15,Tecnología móvil,"414,585"
2020,06,15Jun2020,99,Sin tecnología especificada,"340,613"
2020,07,15Jul2020,01,Cable coaxial,"8,170,221"
2020,07,15Jul2020,02,DSL,"6,436,565"
2020,07,15Jul2020,03,Fibra óptica,"5,723,799"
2020,07,15Jul2020,04,Satelital,"19,775"
2020,07,15Jul2020,15,Tecnología móvil,"430,769"
2020,07,15Jul2020,99,Sin tecnología especificada,"345,399"
2020,08,15Aug2020,01,Cable coaxial,"8,331,840"
2020,08,15Aug2020,02,DSL,"6,417,871"
2020,08,15Aug2020,03,Fibra óptica,"5,883,082"
2020,08,15Aug2020,04,Satelital,"19,930"
2020,08,15Aug2020,15,Tecnología móvil,"466,433"
2020,08,15Aug2020,99,Sin tecnología especificada,"358,198"
2020,09,15Sep2020,01,Cable coaxial,"8,491,270"
2020,09,15Sep2020,02,DSL,"6,385,760"
2020,09,15Sep2020,03,Fibra óptica,"6,056,011"
2020,09,15Sep2020,04,Satelital,"20,012"
2020,09,15Sep2020,15,Tecnología móvil,"495,837"
2020,09,15Sep2020,99,Sin tecnología especificada,"370,695"
2020,10,15Oct2020,01,Cable coaxial,"8,604,324"
2020,10,15Oct2020,02,DSL,"6,329,200"
2020,10,15Oct2020,03,Fibra óptica,"6,234,638"
2020,10,15Oct2020,04,Satelital,"20,281"
2020,10,15Oct2020,15,Tecnología móvil,"515,597"
2020,10,15Oct2020,99,Sin tecnología especificada,"410,580"
2020,11,15Nov2020,01,Cable coaxial,"8,768,249"
2020,11,15Nov2020,02,DSL,"6,282,214"
2020,11,15Nov2020,03,Fibra óptica,"6,295,992"
2020,11,15Nov2020,04,Satelital,"20,185"
2020,11,15Nov2020,15,Tecnología móvil,"527,001"
2020,11,15Nov2020,99,Sin tecnología especificada,"433,796"
2020,12,15Dec2020,01,Cable coaxial,"8,903,694"
2020,12,15Dec2020,02,DSL,"6,197,007"
2020,12,15Dec2020,03,Fibra óptica,"6,389,876"
2020,12,15Dec2020,04,Satelital,"20,418"
2020,12,15Dec2020,15,Tecnología móvil,"548,741"
2020,12,15Dec2020,99,Sin tecnología especificada,"449,703"
2021,01,15Jan2021,01,Cable coaxial,"7,858,150"
2021,01,15Jan2021,02,DSL,"6,132,552"
2021,01,15Jan2021,03,Fibra óptica,"6,537,515"
2021,01,15Jan2021,04,Satelital,"567,044"
2021,01,15Jan2021,15,Tecnología móvil,"673,203"
2021,01,15Jan2021,99,Sin tecnología especificada,"1,151,950"
2021,02,15Feb2021,01,Cable coaxial,"7,885,070"
2021,02,15Feb2021,02,DSL,"6,018,699"
2021,02,15Feb2021,03,Fibra óptica,"6,721,611"
2021,02,15Feb2021,04,Satelital,"488,562"
2021,02,15Feb2021,15,Tecnología móvil,"685,754"
2021,02,15Feb2021,99,Sin tecnología especificada,"1,154,887"
2021,03,15Mar2021,01,Cable coaxial,"7,940,191"
2021,03,15Mar2021,02,DSL,"5,915,635"
2021,03,15Mar2021,03,Fibra óptica,"6,886,487"
2021,03,15Mar2021,04,Satelital,"546,151"
2021,03,15Mar2021,15,Tecnología móvil,"695,490"
2021,03,15Mar2021,99,Sin tecnología especificada,"1,162,716"
2021,04,15Apr2021,01,Cable coaxial,5534086
2021,04,15Apr2021,02,DSL,5857447
2021,04,15Apr2021,03,Fibra óptica,10298787
2021,04,15Apr2021,04,Satelital,506451
2021,04,15Apr2021,15,Tecnología móvil,699563
2021,04,15Apr2021,99,Sin tecnología especificada,256726
2021,05,15May2021,01,Cable coaxial,5540047
2021,05,15May2021,02,DSL,5764288
2021,05,15May2021,03,Fibra óptica,10472377
2021,05,15May2021,04,Satelital,500187
2021,05,15May2021,15,Tecnología móvil,703171
2021,05,15May2021,99,Sin tecnología especificada,252983
2021,06,15Jun2021,01,Cable coaxial,5545313
2021,06,15Jun2021,02,DSL,5675248
2021,06,15Jun2021,03,Fibra óptica,10657556
2021,06,15Jun2021,04,Satelital,480883
2021,06,15Jun2021,15,Tecnología móvil,704453
2021,06,15Jun2021,99,Sin tecnología especificada,252187
